------------------------------------------------------------
 Current
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -7.45233526e-13
                   0,      -7.45233526e-13
        0.0315789474,       7.13722069e-10
        0.0631578947,       2.12671978e-09
        0.0947368421,       5.08499264e-09
         0.126315789,       1.13968785e-08
         0.157894737,       2.49741824e-08
         0.189473684,       5.43152203e-08
         0.221052632,       1.18068561e-07
         0.252631579,       2.57873739e-07
         0.284210526,       5.69260246e-07
         0.315789474,       1.28113251e-06
         0.347368421,       2.98050303e-06
         0.378947368,       7.31888833e-06
         0.410526316,       1.94659927e-05
         0.442105263,         5.733091e-05
         0.473684211,       0.000188110627
         0.505263158,       0.000677915167
         0.536842105,        0.00261546397
         0.568421053,         0.0105331226
                 0.6,         0.0433952926

